table_name,column_name,datatype,size,MandatoryCheck
rskcsp_ds_account_curated,Id,STRING,18,Yes
rskcsp_ds_account_curated,CreatedDate,DATETIME,,Yes
rskcsp_ds_account_curated,CreatedById,STRING,18,Yes
rskcsp_ds_account_curated,LastModifiedDate,DATETIME,,Yes
rskcsp_ds_account_curated,LastModifiedById,STRING,18,Yes
rskcsp_ds_account_curated,CCS_Account_Type_for_Duplicate_Rule__c,STRING,100,Yes
rskcsp_ds_account_curated,CCS_Bank_Entity__c,STRING,255,Yes
rskcsp_ds_account_curated,CCS_BSU_RM_Name__c,STRING,18,Yes
rskcsp_ds_account_curated,CCS_Set_up_Actions_by_Profile_for_LG__c,BOOL,,Yes
rskcsp_ds_account_curated,CCS_CMDID__c,STRING,19,Yes
rskcsp_ds_account_curated,CCS_Collections_Indicator__c,BOOL,,Yes
rskcsp_ds_account_curated,CCS_Company_Registration_Number__c,STRING,20,Yes
rskcsp_ds_account_curated,CCS_Country_of_Incorporation__c,STRING,255,Yes
rskcsp_ds_account_curated,CCS_Country_of_Registration__c,STRING,255,Yes
rskcsp_ds_account_curated,CCS_Credit_Officer__c,STRING,18,Yes
rskcsp_ds_account_curated,CCS_Email__c,STRING,80,Yes
rskcsp_ds_account_curated,CCS_First_Name__c,STRING,225,Yes
rskcsp_ds_account_curated,CCS_TotalHardBankLimits__c,BIGDECIMAL,,Yes
rskcsp_ds_account_curated,CCS_TotalSoftBankLimits__c,BIGDECIMAL,,Yes
rskcsp_ds_account_curated,CCS_TotalHardLBCMLimits__c,BIGDECIMAL,,Yes
rskcsp_ds_account_curated,CCS_TotalSoftLBCMLimits__c,BIGDECIMAL,,Yes
rskcsp_ds_account_curated,CCS_Date_Commenced_Trading__c,DATE,,Yes
rskcsp_ds_account_curated,CCS_Date_of_Association__c,DATE,,Yes
rskcsp_ds_account_curated,CCS_DateOfBirth__c,DATE,,Yes
rskcsp_ds_account_curated,CCS_DefaultFlag__c,BOOL,,Yes
rskcsp_ds_account_curated,CCS_KYB_Status__c,STRING,255,Yes
rskcsp_ds_account_curated,CCS_KYC_Status__c,STRING,255,Yes
rskcsp_ds_account_curated,CCS_Is_part_of_ORG__c,BOOL,,Yes
rskcsp_ds_account_curated,CCS_Last_Name__c,STRING,225,Yes
rskcsp_ds_account_curated,CCS_Monthly_Batch_Decision__c,STRING,20,Yes
rskcsp_ds_account_curated,CCS_NPLE_Type_1__c,STRING,255,Yes
rskcsp_ds_account_curated,CCS_LendingValue__c,BIGDECIMAL,,Yes
rskcsp_ds_account_curated,CCS_OGSA__c,STRING,18,Yes
rskcsp_ds_account_curated,CCS_OUCode__c,STRING,3,Yes
rskcsp_ds_account_curated,CCS_Registered_Charity_Number__c,STRING,10,Yes
rskcsp_ds_account_curated,CCS_Relationship_Name_Hyper__c,STRING,1300,Yes
rskcsp_ds_account_curated,CCS_Relationship_Record_Type_Name__c,STRING,255,Yes
rskcsp_ds_account_curated,CCS_Sub_type__c,STRING,255,Yes
rskcsp_ds_account_curated,CCS_RelationshipTradingName__c,STRING,40,Yes
rskcsp_ds_account_curated,CCS_Risk_Rating__c,STRING,255,Yes
rskcsp_ds_account_curated,CCS_RM_FileNumber__c,STRING,255,
rskcsp_ds_account_curated,CCS_RFI_Flag__c,BOOL,,
rskcsp_ds_account_curated,CCS_RM_Name__c,STRING,1300,
rskcsp_ds_account_curated,CCS_RM_Team__c,STRING,18,
rskcsp_ds_account_curated,CCS_Segment__c,STRING,255,
rskcsp_ds_account_curated,CCS_SIC_Code_1__c,STRING,18,
rskcsp_ds_account_curated,CCS_SIC_Description__c,STRING,1300,
rskcsp_ds_account_curated,CCS_Set_up_Create_OGSA_Profiles__c,BOOL,,
rskcsp_ds_account_curated,CCS_SIC_Code__c,DECIMAL,,
rskcsp_ds_account_curated,CCS_Sort_Code__c,STRING,6,
rskcsp_ds_account_curated,CCS_Support_Indicator__c,STRING,255,
rskcsp_ds_account_curated,LLC_BI__lookupKey__c,STRING,255,
